"fmun_cod";"fmun";"ano";"regiao";"hom_doloso";"lesao_corp_morte";"latrocinio";"cvli";"hom_por_interv_policial";"letalidade_violenta";"tentat_hom";"lesao_corp_dolosa";"estupro";"hom_culposo";"lesao_corp_culposa";"roubo_transeunte";"roubo_celular";"roubo_em_coletivo";"roubo_rua";"roubo_carga";"roubo_comercio";"roubo_residencia";"roubo_banco";"roubo_cx_eletronico";"roubo_conducao_saque";"roubo_apos_saque";"roubo_bicicleta";"outros_roubos";"total_roubos";"furto_veiculos";"furto_transeunte";"furto_coletivo";"furto_celular";"furto_bicicleta";"outros_furtos";"total_furtos";"sequestro";"extorsao";"sequestro_relampago";"estelionato";"apreensao_drogas";"posse_drogas";"trafico_drogas";"apreensao_drogas_sem_autor";"recuperacao_veiculos";"apf";"aaapai";"cmp";"cmba";"ameaca";"pessoas_desaparecidas";"encontro_cadaver";"encontro_ossada";"pol_militares_mortos_serv";"pol_civis_mortos_serv";"registro_ocorrencias";"fase"
3300100;"Angra dos Reis";2014;"Interior";"40,55";"0";"0,54";"41,09";"1,08";"42,18";"44,34";"466,1";"49,75";"16,76";"226,02";"78,4";"12,98";"18,93";"110,31";"5,41";"32,98";"3,79";"0";"0";"0";"0,54";"0";"27,58";"201,69";"283,18";"41,64";"17,3";"55,15";"0";"492,05";"690,49";"0";"3,24";"0";"105,98";"240,08";"104,9";"109,22";"27,04";"170,3";"233,59";"44,88";"87,6";"2,16";"510,44";"49,75";"4,33";"0";"0";"0";"3256,19";3
3300100;"Angra dos Reis";2015;"Interior";"48,86";"0";"0";"48,86";"6,9";"55,77";"87,11";"458,37";"44,08";"14,87";"128,53";"60,02";"14,34";"15,93";"90,29";"8,5";"42,49";"6,9";"0";"0";"0,53";"0,53";"0";"28,68";"192,8";"281,18";"45,15";"6,37";"58,96";"1,59";"395,7";"599,12";"0";"6,9";"0";"106,76";"240,6";"90,82";"131,72";"22,31";"154,55";"252,29";"40,9";"77,55";"3,19";"477,49";"39,3";"1,59";"0";"0";"0";"3037,56";3
3300100;"Angra dos Reis";2016;"Interior";"44,39";"0,52";"0,52";"45,43";"3,66";"49,09";"79,37";"387,46";"29,24";"9,92";"110,18";"118,54";"27,15";"34,46";"180,15";"6,79";"53,78";"5,22";"0";"0,52";"0";"0";"0";"44,91";"339,94";"306,43";"31,85";"6,27";"34,46";"4,7";"344,64";"516,44";"0";"3,66";"0";"94,51";"182,24";"43,86";"119,58";"20,89";"252,98";"246,47";"42,82";"65,27";"7,31";"341,51";"40,21";"4,7";"0";"0";"0";"2858,43";3
3300100;"Angra dos Reis";2017;"Interior";"44,7";"0";"0";"44,7";"13,36";"58,06";"83,75";"280,55";"30,83";"18,5";"89,92";"110,99";"29,8";"73,48";"214,26";"5,65";"27,23";"5,65";"0";"0";"0";"1,54";"0";"28,77";"344,26";"201,79";"20,55";"6,68";"22,09";"1,54";"241,5";"355,05";"0";"3,08";"1,03";"82,21";"215,29";"55,49";"133,59";"28,26";"238";"199,88";"33,91";"101,22";"2,57";"230,71";"27,75";"3,08";"0,51";"0";"0";"2321,97";3
3300100;"Angra dos Reis";2018;"Interior";"65,87";"0";"0,5";"66,36";"25,45";"91,81";"104,79";"264,96";"36,43";"9,48";"79,84";"119,76";"42,91";"8,48";"171,15";"17,46";"17,96";"6,49";"0";"0";"0";"0";"0";"46,41";"363,26";"171,28";"23,95";"5,49";"20,96";"0,5";"253,98";"356,77";"0";"3,49";"0";"66,36";"184,62";"33,93";"139,72";"13,47";"310,65";"244";"47,9";"84,33";"6,49";"221,05";"25,95";"5,99";"0,5";"2,22";"0";"2292,83";3
3300100;"Angra dos Reis";2019;"Interior";"43,67";"0";"0,98";"44,65";"24,54";"69,19";"92,25";"294,43";"28,46";"12,76";"85,38";"76,06";"36,8";"4,91";"117,77";"28,95";"21,59";"4,42";"0,49";"0,49";"0";"0,98";"0,49";"31,9";"292,47";"132,78";"25,52";"4,91";"22,08";"1,47";"199,23";"292,96";"0";"3,43";"0,49";"79,5";"162,92";"49,56";"101,09";"13,25";"149,18";"195,3";"47,11";"78,51";"8,34";"242,9";"16,68";"2,45";"0,49";"0";"0";"2189,56";3
3300100;"Angra dos Reis";2020;"Interior";"32,36";"0";"0,48";"32,84";"19,32";"52,16";"54,09";"285,93";"30,91";"11,11";"80,18";"42,99";"15,94";"1,93";"60,86";"11,59";"9,66";"2,41";"0,48";"0";"0,97";"0,97";"0,48";"13,04";"117,37";"68,4";"11,59";"1,45";"14,97";"2,41";"170,01";"221,21";"0";"6,28";"0";"135,24";"188,37";"42,02";"132,82";"18,84";"62,04";"197,54";"30,43";"43,47";"1,45";"225,56";"17,39";"0,97";"0";"0";"0";"1872,07";3
3300159;"Aperibé";2014;"Interior";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";3
3300159;"Aperibé";2015;"Interior";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";3
3300159;"Aperibé";2016;"Interior";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";3
